site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
1,chronos2_baseline,0.0695754588,0.1518158764,0.0695754588,0.1518158764,1.0000000000,"[2545, 24]",4B,2023
2,chronos2_baseline,0.0642672479,0.1453535110,0.0642672479,0.1453535110,1.0000000000,"[2545, 24]",4B,2023
3,chronos2_baseline,0.0655679703,0.1446676403,0.0655679703,0.1446676403,1.0000000000,"[2545, 24]",4B,2023
4,chronos2_baseline,0.0681890026,0.1318674684,0.0681890026,0.1318674684,1.0000000000,"[2545, 24]",4B,2023
5,chronos2_baseline,0.0651458725,0.1418315768,0.0651458725,0.1418315768,1.0000000000,"[2545, 24]",4B,2023
6,chronos2_baseline,0.0737863928,0.1485624909,0.0737863928,0.1485624909,1.0000000000,"[2545, 24]",4B,2023
7,chronos2_baseline,0.0721924976,0.1380827278,0.0721924976,0.1380827278,1.0000000000,"[2545, 24]",4B,2023
8,chronos2_baseline,0.0576778241,0.1122439206,0.0576778241,0.1122439206,1.0000000000,"[2545, 24]",4B,2023
9,chronos2_baseline,0.0684688762,0.1349769235,0.0684688762,0.1349769235,1.0000000000,"[2545, 24]",4B,2023
0,stage4a_cross_attention,0.0484389737,0.0938234851,0.0484389737,0.0938234851,1.0000000000,"[2545, 24]",4B,2023
1,stage4a_cross_attention,0.0550981686,0.1055237800,0.0550981686,0.1055237800,1.0000000000,"[2545, 24]",4B,2023
2,stage4a_cross_attention,0.0474893451,0.0954967737,0.0474893451,0.0954967737,1.0000000000,"[2545, 24]",4B,2023
3,stage4a_cross_attention,0.0475465804,0.0984571278,0.0475465804,0.0984571278,1.0000000000,"[2545, 24]",4B,2023
4,stage4a_cross_attention,0.0513451472,0.0985528678,0.0513451472,0.0985528678,1.0000000000,"[2545, 24]",4B,2023
5,stage4a_cross_attention,0.0505017340,0.0995909795,0.0505017340,0.0995909795,1.0000000000,"[2545, 24]",4B,2023
